target,feature,feature_group,mean_abs_gradient
temperature_k,lat_norm,location,6.289061275310814e-06
temperature_k,lon_norm,location,1.3546497029892635e-05
temperature_k,abs_lat_norm,location,1.3901385500503238e-05
temperature_k,altitude_km,altitude,9.521906758891419e-05
temperature_k,log1p_altitude_km,altitude,2.546477480791509e-05
temperature_k,altitude_km_sq,altitude,0.000108223786810413
temperature_k,altitude_km_cu,altitude,6.0623427998507395e-05
temperature_k,sin_lat,location,4.96611892231158e-06
temperature_k,cos_lat,location,2.7652233256958425e-05
temperature_k,sin_lon,location,6.618367478949949e-06
temperature_k,cos_lon,location,5.99716759097646e-06
temperature_k,sphere_x,location,7.108029876690125e-06
temperature_k,sphere_y,location,7.753988938929979e-06
temperature_k,sphere_z,location,4.964279469277244e-06
temperature_k,altitude_x_sin_lat,altitude,9.417854016646743e-06
temperature_k,altitude_x_cos_lat,altitude,7.396665023406968e-05
temperature_k,altitude_x_sin_lon,altitude,7.06504397385288e-06
temperature_k,altitude_x_cos_lon,altitude,7.259476205945248e-06
temperature_k,altitude_x_abs_lat_norm,altitude,5.495217919815332e-05
temperature_k,day_of_year_norm,day_of_year,0.00012515859270934016
temperature_k,utc_hour_norm,time_of_day,4.080346116097644e-06
temperature_k,local_solar_hour_norm,time_of_day,5.100807243252348e-07
temperature_k,utc_sin_1,time_of_day,2.2291628738457803e-06
temperature_k,utc_cos_1,time_of_day,2.1859254957234953e-06
temperature_k,utc_sin_2,time_of_day,5.618235263682436e-07
temperature_k,utc_cos_2,time_of_day,6.110640811129997e-07
temperature_k,solar_sin_1,time_of_day,3.058469246752793e-06
temperature_k,solar_cos_1,time_of_day,2.9125924356776522e-06
temperature_k,solar_sin_2,time_of_day,8.403022206948663e-07
temperature_k,solar_cos_2,time_of_day,9.802971590033849e-07
temperature_k,lat_sin_1,location,4.80716380479862e-06
temperature_k,lat_cos_1,location,2.7689500711858273e-05
temperature_k,lon_sin_1,location,6.612347078771563e-06
temperature_k,lon_cos_1,location,5.852692083863076e-06
temperature_k,lat_sin_2,location,1.447669455956202e-05
temperature_k,lat_cos_2,location,2.0911860701744445e-05
temperature_k,lon_sin_2,location,2.69092561211437e-05
temperature_k,lon_cos_2,location,2.448992381687276e-05
pressure_pa,lat_norm,location,4.602102762873983e-06
pressure_pa,lon_norm,location,6.125811069068732e-06
pressure_pa,abs_lat_norm,location,6.501316420326475e-06
pressure_pa,altitude_km,altitude,6.0173140809638426e-05
pressure_pa,log1p_altitude_km,altitude,1.287999202759238e-05
pressure_pa,altitude_km_sq,altitude,6.902611494297162e-05
pressure_pa,altitude_km_cu,altitude,4.05248865718022e-05
pressure_pa,sin_lat,location,3.0052749480091734e-06
pressure_pa,cos_lat,location,8.742114005144686e-06
pressure_pa,sin_lon,location,3.265197165092104e-06
pressure_pa,cos_lon,location,3.0264552606240613e-06
pressure_pa,sphere_x,location,3.7130034797883127e-06
pressure_pa,sphere_y,location,4.191439074929804e-06
pressure_pa,sphere_z,location,2.907314183175913e-06
pressure_pa,altitude_x_sin_lat,altitude,6.913730885571567e-06
pressure_pa,altitude_x_cos_lat,altitude,4.829341560252942e-05
pressure_pa,altitude_x_sin_lon,altitude,4.277751486370107e-06
pressure_pa,altitude_x_cos_lon,altitude,4.4885778152092826e-06
pressure_pa,altitude_x_abs_lat_norm,altitude,3.483749242150225e-05
pressure_pa,day_of_year_norm,day_of_year,4.503389573073946e-05
pressure_pa,utc_hour_norm,time_of_day,1.490776298851415e-06
pressure_pa,local_solar_hour_norm,time_of_day,2.9636893827955646e-07
pressure_pa,utc_sin_1,time_of_day,1.3017073570154025e-06
pressure_pa,utc_cos_1,time_of_day,1.2633269079742604e-06
pressure_pa,utc_sin_2,time_of_day,3.2880831213333295e-07
pressure_pa,utc_cos_2,time_of_day,3.589158836803108e-07
pressure_pa,solar_sin_1,time_of_day,1.7912483372128918e-06
pressure_pa,solar_cos_1,time_of_day,1.857241500147211e-06
pressure_pa,solar_sin_2,time_of_day,5.213011036175885e-07
pressure_pa,solar_cos_2,time_of_day,6.04413457949704e-07
pressure_pa,lat_sin_1,location,2.8553122319863178e-06
pressure_pa,lat_cos_1,location,8.837928362481762e-06
pressure_pa,lon_sin_1,location,3.2556149562879e-06
pressure_pa,lon_cos_1,location,2.9494083264580695e-06
pressure_pa,lat_sin_2,location,7.432701750076376e-06
pressure_pa,lat_cos_2,location,7.163977898017038e-06
pressure_pa,lon_sin_2,location,1.2485844308685046e-05
pressure_pa,lon_cos_2,location,1.2442684237612411e-05
wind_u,lat_norm,location,2.0660696463892236e-05
wind_u,lon_norm,location,6.33295057923533e-05
wind_u,abs_lat_norm,location,6.926153582753614e-05
wind_u,altitude_km,altitude,7.789862138452008e-05
wind_u,log1p_altitude_km,altitude,7.461695349775255e-05
wind_u,altitude_km_sq,altitude,0.00010744485189206898
wind_u,altitude_km_cu,altitude,0.00011040730896638706
wind_u,sin_lat,location,2.349502574361395e-05
wind_u,cos_lat,location,0.00013063382357358932
wind_u,sin_lon,location,2.818643224600237e-05
wind_u,cos_lon,location,2.379528268647846e-05
wind_u,sphere_x,location,2.6857514967559837e-05
wind_u,sphere_y,location,3.1321313144871965e-05
wind_u,sphere_z,location,2.3445963961421512e-05
wind_u,altitude_x_sin_lat,altitude,3.797602039412595e-05
wind_u,altitude_x_cos_lat,altitude,7.009797991486266e-05
wind_u,altitude_x_sin_lon,altitude,2.6582223654258996e-05
wind_u,altitude_x_cos_lon,altitude,2.5892355552059598e-05
wind_u,altitude_x_abs_lat_norm,altitude,8.414054900640622e-05
wind_u,day_of_year_norm,day_of_year,0.0007206610171124339
wind_u,utc_hour_norm,time_of_day,2.3275313651538454e-05
wind_u,local_solar_hour_norm,time_of_day,1.7558830904818024e-06
wind_u,utc_sin_1,time_of_day,8.348857591045089e-06
wind_u,utc_cos_1,time_of_day,8.262462870334275e-06
wind_u,utc_sin_2,time_of_day,1.9940530364692677e-06
wind_u,utc_cos_2,time_of_day,2.1691291749448283e-06
wind_u,solar_sin_1,time_of_day,1.0677343198040035e-05
wind_u,solar_cos_1,time_of_day,1.059620080923196e-05
wind_u,solar_sin_2,time_of_day,3.4758720630634343e-06
wind_u,solar_cos_2,time_of_day,3.580910288292216e-06
wind_u,lat_sin_1,location,2.3106658773031086e-05
wind_u,lat_cos_1,location,0.00013183147530071437
wind_u,lon_sin_1,location,2.8198817744851112e-05
wind_u,lon_cos_1,location,2.3684700863668695e-05
wind_u,lat_sin_2,location,7.047978579066694e-05
wind_u,lat_cos_2,location,0.00010711917275330052
wind_u,lon_sin_2,location,0.00012858942500315607
wind_u,lon_cos_2,location,0.00011334143346175551
wind_v,lat_norm,location,3.710705277626403e-05
wind_v,lon_norm,location,0.00015353896014858037
wind_v,abs_lat_norm,location,9.777698869584128e-05
wind_v,altitude_km,altitude,0.00013271201169118285
wind_v,log1p_altitude_km,altitude,0.0001344396296190098
wind_v,altitude_km_sq,altitude,0.00018549716332927346
wind_v,altitude_km_cu,altitude,0.00018804112914949656
wind_v,sin_lat,location,4.223882206133567e-05
wind_v,cos_lat,location,0.00018705500406213105
wind_v,sin_lon,location,6.36837212368846e-05
wind_v,cos_lon,location,5.5191892897710204e-05
wind_v,sphere_x,location,5.656058783642948e-05
wind_v,sphere_y,location,6.844898598501459e-05
wind_v,sphere_z,location,4.1997274820460007e-05
wind_v,altitude_x_sin_lat,altitude,6.572005804628134e-05
wind_v,altitude_x_cos_lat,altitude,0.00011647740029729903
wind_v,altitude_x_sin_lon,altitude,5.625564881484024e-05
wind_v,altitude_x_cos_lon,altitude,5.4433519835583866e-05
wind_v,altitude_x_abs_lat_norm,altitude,0.00013500290515366942
wind_v,day_of_year_norm,day_of_year,0.001790629350580275
wind_v,utc_hour_norm,time_of_day,5.783464803243987e-05
wind_v,local_solar_hour_norm,time_of_day,3.740441343325074e-06
wind_v,utc_sin_1,time_of_day,1.784128835424781e-05
wind_v,utc_cos_1,time_of_day,1.7558197214384563e-05
wind_v,utc_sin_2,time_of_day,4.317644652473973e-06
wind_v,utc_cos_2,time_of_day,4.670343059842708e-06
wind_v,solar_sin_1,time_of_day,2.3132863134378567e-05
wind_v,solar_cos_1,time_of_day,2.3587401301483624e-05
wind_v,solar_sin_2,time_of_day,6.528792255267035e-06
wind_v,solar_cos_2,time_of_day,7.995630767254625e-06
wind_v,lat_sin_1,location,4.1587820305721834e-05
wind_v,lat_cos_1,location,0.0001887097314465791
wind_v,lon_sin_1,location,6.347537419060245e-05
wind_v,lon_cos_1,location,5.4904372518649325e-05
wind_v,lat_sin_2,location,0.00011863722465932369
wind_v,lat_cos_2,location,0.00015316579083446413
wind_v,lon_sin_2,location,0.0003212988958694041
wind_v,lon_cos_2,location,0.000289462273940444
